date,n_intervention,name,reduced_regex_text
2019-07-22,79,PRESIDENTA," Gracias, señor Rivera. Tiene la palabra el candidato a la Presidencia del Gobierno."
2019-07-22,80,SÁNCHEZ PÉREZ CASTEJÓN (candidato a la Presidencia del Gobierno)," Muchas gracias, señora presidenta. Señor Rivera, me alegro de verle. Me alegro de verle. (Risas y aplausos). Se ha especulado mucho estas últimas semanas en las que usted no ha tenido a bien reunirse conmigo, ha habido incluso especulaciones en los medios de comunicación de que teníamos algún problema personal usted y yo. Yo tengo que decirle, señor Rivera, que no hay ningún problema personal (el señor Rivera Díaz: No), efectivamente, y yo le deseo lo mejor en lo personal y, sin duda alguna, me alegro además de que se haya recuperado de lo que le aconteció esta semana. Pero sí tengo que decirle, señor Rivera, que desde el punto de vista político usted se está equivocando mucho, muchísimo. Mire, usted ha puesto un cordón sanitario al Partido Socialista y con él se ha atado a la ultraderecha. Usted viene aquí y desde esta tribuna dice: teatro, puro teatro. Teatro, señor Rivera, es pactar con la ultraderecha e intentar que parezca un accidente. (Aplausos). Usted, señor Rivera, con todas estas expresiones de golpista, de banda, de sanchistas y del plan Sánchez y todas estas cuestiones que saca siempre a colación cada vez que tiene ocasión de poder hablar, cree que insulta, pero no lo hace así, señor Rivera; lo que hace es demostrar su capacidad de menosprecio. Me gustaría preguntar a la bancada de Ciudadanos y a usted mismo, señor Rivera, cuántos votos tiene que sacar el Partido Socialista a Ciudadanos y cuántos escaños tenemos que tener de diferencia el Partido Socialista y Ciudadanos para que no utilicen ni afijos ni etiquetas como las que ustedes siempre ponen para reconocer de una vez por todas a los votantes socialistas y a los cargos socialistas. (Aplausos). Usted viene, señor Rivera, a esta tribuna a dar lecciones de democracia, pero le digo una cosa y es que en democracia se respeta al adversario, y quien no tiene respeto al adversario tiene un problema con la democracia, y ese es usted, señor Rivera, cada vez que sube a esta tribuna y se dirige a aquellos que no piensan como usted. (Aplausos). La democracia es fondo y forma, señor Rivera; la democracia es fondo y forma. Y usted, al rechazar tener reuniones conmigo, no solo ha puesto como ejemplo su mala forma de entender la política y de hacer política, no solamente no ha dado usted cauce a un mandato que recibí del jefe del Estado como consecuencia de ser la primera fuerza política el pasado 28 de abril, sino que está contraviniendo el mandato de los ciudadanos, porque, efectivamente y usted lo ha dicho en su intervención , no hay una mayoría absoluta: yo tengo 123 escaños y estoy lejos, en consecuencia, de los 176 escaños para poder conformar un Gobierno como me gustaría, pero lo que le digo, señor Rivera, es que sería importante también tener diálogo y negociación con su grupo parlamentario para que España no se quedara bloqueada, la legislatura echara a andar y pudiéramos tener un Gobierno. Porque de eso estamos hablando, señor Rivera, señorías del Grupo Parlamentario Ciudadanos, estamos hablando de si España tiene Gobierno o no, de si tenemos un Gobierno o vamos al bloqueo institucional con el grave riesgo de poder ir a elecciones el próximo 10 de noviembre. Esta es la cuestión, señor Rivera. No le estoy pidiendo que usted vote a favor de mi candidatura, no estoy pidiendo que aplauda el discurso de investidura ni tampoco el planteamiento programático que estoy haciendo para los próximos cuatro años; yo solamente le estoy pidiendo que se abstenga, que facilite la formación de un Gobierno, al cual luego usted podrá llamar como quiera, insultar de la forma que nos tiene acostumbrados y hacer oposición como le venga a usted en gana, pero sería bueno, señor Rivera, que al menos usted tuviera clara cuál es la realidad: usted ni lidera la oposición, porque no lo han querido los españoles, ni lidera la derecha. Por tanto, facilite la formación de un Gobierno en España. No me escuche a mí, escuche a sus votantes al menos, señor Rivera. En todas las encuestas y no solo de ese malvado Tezanos al cual usted siempre descalifica cuando tiene ocasión , dicen que, al menos, el 70 % de los votantes de Ciudadanos quieren que usted facilite la investidura y que haya Gobierno en España. El 70 % de los votantes, señor Rivera, el 70 % de los votantes de Ciudadanos piden que haya Gobierno y que Ciudadanos se abstenga en la formación del Gobierno en este debate de investidura. Declararse en rebeldía de los votantes es un mal negocio para usted y para Ciudadanos, pero eso es lo de menos: es un mal negocio para España. Por eso le pido, señor Rivera, que se abstenga por el bien de España y que se abstenga por el país que dice usted tanto querer y a cuya estabilidad usted dice que tanto contribuye. Porque usted ha tomado una deriva muy peligrosa, señor Rivera, usted al final ha cogido este mantra bastante conservador, aznarista, diría yo, de cuanto peor, mejor. Y, señor Rivera, el cuanto peor, mejor es cuanto peor, peor para usted, para su partido y, sobre todo y ante todo, para el país. Nosotros hemos visto durante estos últimos meses después de las elecciones un debate interno bastante intenso en su formación política. Ha habido un debate bastante intenso. Tanto es así que ha habido personas como Valls... Imagino que el señor Valls, señor Rivera, también forma parte del plan Sánchez y por eso ha facilitado que haya un Gobierno no independentista en el Ayuntamiento de Barcelona. (Aplausos. Denegaciones del señor Rivera Díez). Sí, sí. Ya sabía yo que ustedes pensaban lo mismo que yo. (Risas). Pero también ha habido fundadores del partido que usted puso en marcha, señor Rivera, que han abandonado igualmente su formación, y además los ha despachado más o menos igual que me despachó a mí el otro día cuando dijo que no me iba a coger el teléfono y no se iba a reunir conmigo. Ha venido a decir algo así como: aquellos que no piensen como yo que monten otro partido. Yo no sé si van a montar otro partido, señor Rivera, pero Ciudadanos hoy parece La gran evasión. (Aplausos). Señor Rivera, ha venido aquí a darnos lecciones de centrismo. Dice usted que es un centrista, un liberal. Hombre, un liberal y un centrista no bloquea España; a un liberal y a un centrista no solamente le funciona un intermitente, el de la derecha. Usted, señor Rivera, ha dejado eso de rojos y azules, como dijo el señor Roldán, para abrazarse claramente al verde del señor Abascal. (Aplausos). Señor Rivera, ha dejado a un lado la idea de la regeneración democrática, luchar contra la corrupción, y lo único que ha hecho ha sido apuntalar la corrupción en la ciudad de Madrid, en Murcia y en Castilla y León de un Partido Popular que está lleno de corrupción sistémica en esos territorios, como bien sabe. (Aplausos). Señor Rivera, ha dejado atrás y ha dicho adiós a la lucha contra el nacionalismo periférico, y ha abrazado aquello que dijo uno de los padres fundadores de su partido, el señor Francesc de Carreras, que no solo dijo que se ha convertido en una suerte de adolescente caprichoso, sino que ha abrazado el nacionalismo español, que es lo que efectivamente se escucha cada vez que sube a la tribuna. Señor Rivera, ha abandonado y ha laminado todo debate interno. Cada vez está más solo en su torre de marfil, señor Rivera. Y finalmente, ¿lidera usted la oposición, señor Rivera? Si es la tercera fuerza política de este país, si cuando ustedes tuvieron la ocasión de liderar la oposición, ganando las elecciones en Cataluña, huyeron y dejaron a los constitucionalistas sin ningún tipo de defensa en el Parlamento de Cataluña. (Aplausos). ¿Pero viene aquí a dar lecciones de qué, de liderar qué oposición? ¿De liderar qué oposición si la señora Arrimadas no se presentó al debate de investidura en el Parlamento de Cataluña? Si ustedes lo que han hecho ha sido huir de Cataluña y dejar al constitucionalismo sin ninguna referencia en Ciudadanos. (Aplausos). Para ustedes todos son fascistas; todos son fascistas. La gente del 8 de marzo, las feministas, fascistas (rumores); aquellos que no comulgan con ustedes en la manifestación del orgullo gay, fascistas. (Rumores). Sí, sí, claro que sí. El Partido Socialista, fascista. Claro que sí, señor Rivera. Ahora, eso sí, no le vamos a poner una etiqueta, siguiendo la frase de la señora Arrimadas, a la ultraderecha porque no les gusta poner etiquetas. (Aplausos). Todos son fascistas menos la ultraderecha. A mí, señor Rivera, no me gusta poner etiquetas, pero en esta ocasión no me resisto. Su etiqueta es reversible, como las chaquetas. (Risas). Honestamente, señor Rivera, no le entiendo. Yo creo que usted está peleado con la realidad. No sé a qué obedecen sus discursos, a qué obedece el cordón sanitario que ha puesto al Partido Socialista, honestamente se lo digo. Según los datos, el 57 % de los reales decretos leyes aprobados durante los doce meses de gobierno de la legislatura anterior fueron apoyados por su grupo parlamentario. Usted y yo en 2016 acordamos doscientas medidas, que han formado parte también del discurso de investidura que he dirigido a la Cámara esta mañana. Hemos hablado de pacto educativo, de transición ecológica, de derechos civiles, de muerte digna, de eutanasia, de cómo resolver muchas de las cuestiones lacerantes que sufre mucha población en nuestro país. Todas estas cuestiones permanecen vigentes, señor Rivera, ¿y ninguna de ellas justifica al menos que usted se abstenga? Yo no le pido que vote a favor, sino que al menos se abstenga para que haya un Gobierno en España al cual usted se pueda oponer. No le pido más, señor Rivera. Además usted está pagando un coste insoportable. (Rumores). Sí, sí, usted está pagando un coste insoportable, señor Rivera. En Murcia usted está pactando con la ultraderecha y ahí están cuestionando los derechos de la minoría y la diversidad del colectivo LGTBI. (Aplausos). Usted en Andalucía ha pactado con la ultraderecha y ahí están haciendo listas negras con los trabajadores y las trabajadoras que están luchando contra la violencia de género. Usted está pactando con la ultraderecha y tenemos que escuchar decir a algunas líderes de la ultraderecha en Madrid que hay que revisar y cuestionar a aquellas personas que están educando en diversidad, y por tanto en respeto, a las minorías en los colegios públicos de Madrid. Señor Rivera, cuando un líder empieza a quedarse solo como usted debería preguntarse por qué. Si fuesen ustedes un partido liberal, señor Rivera, no estaríamos ahora mismo ante una situación de bloqueo. Yo se lo digo de una manera bien sencilla. ¿Cómo se puede comer que usted diga que está defendiendo los derechos del colectivo LGTBI cuando pacta con la ultraderecha que pone en cuestión esos derechos del colectivo LGTBI? ¿Cómo puede decir usted que es feminista y luego apresurarse a intentar poner al feminismo una etiqueta de liberalismo? ¿Cómo puede decir usted que quiere luchar contra el nacionalismo y contra el independentismo cuando quiere que sea investido presidente del Gobierno por aquellas fuerzas independentistas a las cuales usted dice querer combatir, señor Rivera? ¿Cómo se come eso, señor Rivera? ¿Cómo se come eso? (Aplausos). Lo único que le digo, señor Rivera, más allá de todo esto, porque luego entra usted en disquisiciones: que si el sablazo fiscal... Señor Rivera, 26 000 millones de euros. ¡Dice usted que voy a subir los impuestos 26 000 millones de euros! Lea usted por lo menos los papeles e infórmese. Ya no está el señor Roldán, pero que el señor Marcos de Quinto le diga exactamente que no son 26 000 millones de euros, señoría, que estamos hablando del ciclo económico y de los ingresos públicos que va a haber como consecuencia del aumento de la recaudación de los impuestos. Hable usted con propiedad e infórmese. Y si usted hace las dos cosas, lo que le pido, por favor, es que no mienta a los españoles y que deje de faltar de una vez por todas a la verdad. (Aplausos). Señoría, yo desde luego estaré dispuesto a hablar con usted de la ley de familias, estaré dispuesto a hablar con usted de los autónomos y estaré dispuesto a hablar con usted de todas las cuestiones. Por cierto, infórmese también, señor Rivera, porque en Portugal ha sido el Tribunal Constitucional el que ha echado abajo esa ley de maternidad subrogada. (Denegaciones del señor Rivera Díaz). Sí, señor Rivera. (Aplausos. Rumores). En todo caso, señor Rivera, eso es lo de menos. Lo importante es que la legislatura eche a andar, lo importante es que España tenga Gobierno, lo importante es que haya oposición, lo importante es que podamos poner en marcha muchas de las iniciativas legislativas que estoy convencido de que entre todos podemos sacar en beneficio de la mayoría social. Por tanto, señor Rivera, le pido que por el bien de España usted y su grupo el próximo jueves se abstengan para que haya Gobierno. (Prolongados aplausos de las señoras y los señores diputados del Grupo Parlamentario Socialista, puestos en pie, y del Gobierno en funciones)."
2019-07-22,81,PRESIDENTA, Muchas gracias. Por el Grupo Parlamentario Ciudadanos tiene la palabra el señor Rivera Díaz. (Aplausos).
2019-07-22,82,RIVERA DÍAZ," Señor Sánchez, si hay sentencia condenatoria de los ERE, ¿va a dimitir usted? ¿Sí o no? (Protestas). Es la tercera vez que le hago la pregunta y no contesta. ¿Saben por qué no? Porque el señor Sánchez tiene una vara de medir para la moral de los demás y otra para la suya, porque en el plan Sánchez no existe la palabra dimitir. El plan Sánchez es para perpetuarse en el poder. El señor Sánchez no va a dimitir por los ERE ni va a hacer dimitir a Marlaska por sus vergonzosas palabras ni va a cesar a la señora Calvo por sectaria. No, porque en el plan Sánchez está precisamente llevar a cabo todo esto. Señor Sánchez, usted dijo que el señor Torra era el Le Pen de la política española. ¿Usted pacta la Diputación de Barcelona con el Le Pen de la política española? (Aplausos). Señor Sánchez, el señor Otegi brinda con la portavoz de su partido. En Navarra gobiernan ustedes con Batasuna. Eso es extremismo. Ustedes son los únicos. Usted es el primer presidente de la democracia española, el primero, que legitima a Batasuna para pactar. El primero. No lo hizo ningún otro presidente anteriormente. Es usted el primero. Usted no tiene escrúpulos, puede pactar con Batasuna, con Torra en la Diputación de Barcelona, llamarle Le Pen, lo que haga falta. Así que, señor Sánchez, el único que gobierna en un Gobierno como el de la Diputación de Barcelona y en otros Gobiernos municipales con la extrema derecha así la catalogan en Europa, ¿verdad, señor Borrell? es usted. El único que gobierna con la extrema derecha es usted, señor Sánchez. (Aplausos). Señor Sánchez, lo que tendría un coste insoportable para España es que usted ejecutara el plan Sánchez sin oposición. Eso sí que tendría un coste insoportable para España. Pero no le va a caer ese chollo, le hemos pillado: tiene usted un plan, tiene una banda, lo viene ejecutando... (Risas). A mí la banda no me hace gracia, me da miedo. Veo a Otegi, a Rufián, a Puigdemont, a Torra y digo: prepárense ustedes, la que van a liar estos señores. A ustedes les hace mucha gracia, lo están negociando aquí, en el cuarto de al lado. Aquí estamos haciendo un debate, pero en el cuarto de al lado están negociando los indultos, están negociando cómo desplazar o no a las cárceles catalanas a los golpistas separatistas, están negociando cómo subir los impuestos. Mientras Sánchez aquí se hace el histérico, aquí al lado están negociando. Que lo sepan todos los españoles. Ha montado un teatrillo, pero están negociando en la habitación de al lado para que el jueves que viene el señor Sánchez pueda ser presidente con el plan Sánchez y seguir perpetuándose en el poder. Pero va a tener oposición, señor Sánchez, y la va a liderar Ciudadanos. No puedo contar todos los escaños, pero habla usted de Ciudadanos y hace unos meses aquí había treinta y dos diputados. ¿Cuántos hay, señor Sánchez? Cincuenta y siete diputados. Respete usted a los 4,3 millones de votantes de Ciudadanos. Un poquito más de respeto. (Aplausos). Por cierto, ha sacado usted el francomodín en el discurso. Cada vez que está un poco en apuros saca el comodín de Franco. Yo le diría, como le dijo Alfonso Guerra, que deje usted de boxear con los huesos del dictador. Eso se lo dijo Alfonso Guerra a usted, que debe ser un fascista también porque se opuso a su política. Pero yo le digo una cosa. Si ustedes estuvieran dispuestos a rectificar y a traer aquí una ley de consenso, como dice el informe del Valle de los Caídos, para que el Parlamento, por consenso, saque a un dictador de España de donde se le hacen homenajes, yo estaría de acuerdo, porque yo no creo que en un país democrático sea normal hacer homenajes a dictadores. Pero le digo una cosa, ni a dictadores muertos ni a dictadores vivos, porque aquí hacen homenajes a Maduro también sus socios de Gobierno. (Aplausos). Así que a ver si son ustedes tan valientes con los dictadores vivos. Por cierto, ni homenajes a terroristas. Yo no quiero homenajes ni a Franco ni a Maduro ni a etarras, y en este país se hacen homenajes a etarras, y ustedes lo permiten porque no hacen nada, porque sus socios del PNV en el País Vasco... (El señor Sánchez Pérez Castejón, candidato a la Presidencia del Gobierno: Qué vergüenza; qué vergüenza; qué vergüenza). Qué vergüenza da ver esos homenajes, señor Sánchez. ¿A usted no se le cae la cara de vergüenza por permitir, siendo presidente del Gobierno, que hagan homenajes a Josu Ternera? A mí me duele el alma, señor Sánchez. (Aplausos). Me duele el alma. Así que si está usted dispuesto a pactar que no haya homenajes ni a Franco ni a Maduro ni a los etarras, hagámoslo, pero entonces ustedes tienen que cambiar su política, la política que han hecho con los nacionalistas vascos, la que están haciendo en Navarra con los nacionalistas y con Batasuna. ¿Va usted a votar a favor de la ley que ha presentado Ciudadanos para que se prohíban los homenajes a terroristas? ¿Sí o no? Esa es la prueba del algodón. ¿Va usted a votar a favor o va a hacer lo que ha hecho hasta ahora, que es mirar hacia otro lado? Porque entonces me creeré que ustedes quieren memoria histórica, porque la memoria histórica no puede tener una laguna con las víctimas del terrorismo, la memoria histórica no puede perdonar que haya homenajes a terroristas. (Aplausos). Y hablando de privilegios y de pactos, algunos de sus compañeros decían: no hay ninguna concesión a los nacionalistas. No, de momento les quieren dar a los jueces, y más dinero para TV3, más embajadas y mirar hacia otro lado. Pero le digo una cosa, ustedes hicieron una cosa con una persona que representa justamente lo que los nacionalistas necesitan. Ustedes y la señora Delgado, con su apoyo y su mando, purgó a un abogado del Estado por defender que había violencia el 1 de octubre, y lo probó y lo demostró, y defendió los delitos que hoy se están viendo en los procesos judiciales. ¿Sabe qué hizo con el señor Edmundo Bal? Lo purgó. ¿Sabe por qué? Porque no tenía el carné del PSOE; tenía el carné de español, por eso le purgó. (Aplausos de las señoras y los señores diputados del Grupo Parlamentario Ciudadanos, puestos en pie, dirigiéndose hacia el señor Bal Francés). Sí, porque lo correcto y lo difícil es lo que hizo Edmundo Bal; lo fácil es lo que hizo la señora Delgado y lo vergonzoso, por cierto , que es purgar a quien define la democracia española. ¿Sabe dónde acaban los valientes? En las filas de Ciudadanos, ahí acaban. (Aplausos. Risas). Sí, sí. Así que, señor Sánchez, no vamos a apoyar su plan, no vamos a hacerle la ola a su banda, no vamos a legitimar lo que usted está haciendo con los que quieren liquidar España. Es nuestra responsabilidad histórica oponernos al plan Sánchez, vigilarlo y desmontarlo. Ese grupo parlamentario de ahí (señalando a la bancada de su grupo parlamentario), de mujeres y hombres valientes van a honrar a los 4 300 000 votantes. Porque, señor Sánchez, los 4 300 000 votantes votaron a Ciudadanos por nuestro programa electoral, por nuestras propuestas, pero sobre todo nos votaron para que le vigiláramos, le controláramos y no permitiéramos lo que usted está haciendo, que es el plan Sánchez. (Risas del señor Sánchez Pérez Castejón, candidato a la Presidencia del Gobierno). Sí, sí, ríase de los votantes de Ciudadanos que cada vez son más, ríase. (El señor Sánchez Pérez Castejón, candidato a la Presidencia del Gobierno: Ya veremos, ya veremos). Pero le prometo, señor Sánchez, que le vamos a vigilar, y a los votantes de Ciudadanos que vamos a cumplir con nuestra palabra, que vamos a defenderles, que vamos a vigilar el plan Sánchez y a su banda y que lo vamos a desmontar. (Risas). Y que en vez de una década gobernando, esperemos que esto dure lo mínimo posible, porque será bueno para España, aunque sea malo para Sánchez y su banda. Así que, señor Sánchez, si usted quería un cheque en blanco de la oposición, por parte de Ciudadanos no lo va a tener; va a tener una vigilancia estrecha, va a tener firmeza democrática, va a tener convicción en la igualdad y la libertad de los españoles. Me siento muy orgulloso de haber defendido lo que he defendido en la campaña electoral y seguir haciéndolo hoy desde esta tribuna. Usted no puede decir lo mismo y algunos de los que están aquí tampoco. Y le voy a decir otra cosa, señor Sánchez, usted puede montar este teatro aquí, pero cuando forme su Gobierno, que lo formará aquí en la habitación del pánico, cuando lleguen a un acuerdo repartiéndose sillas con Podemos, el baile de las sillas, cuando usted ponga en marcha ese Gobierno, desde el minuto uno va a tener oposición, una oposición firme con usted y con su proyecto, el plan Sánchez, pero leal a los españoles. Señor Sánchez, esta es la Cámara nacional, y ya que usted no respeta muchas veces a los votantes de los demás, a los míos los va a respetar. ¿Sabe cómo va a respetar a los votantes de Ciudadanos? Con un no, con uno al plan Sánchez, con un no a la banda que le acompaña, y con un sí a España. (Rumores). Así que, señor Sánchez, a partir del minuto uno que haya Gobierno, oposición firme con su Gobierno, leal con los españoles. Cuando quiera llamarnos para hablar de lo que interesa a España, cuando quiera usted hablar de pactos de Estado, como el de la Educación que destrozó, hablaremos; pero cuando usted quiera legitimar un gobierno con Podemos y con los nacionalistas nos tendrá enfrente; no porque lo diga yo, sino porque es lo que han elegido mis votantes, y lo sabían antes y después de ir a votar. Como dirían algunos de sus votantes, no con Rivera, pero sobre todo no con 4 300 000 votantes que quieren que le vigilemos, que desmontemos su plan y que de aquí a cuatro años o menos España tenga una alternativa de gobierno; una alternativa liberal, una alternativa centrista, una alternativa constitucionalista. Señor Sánchez, usted se dedica a insultar. Yo no voy a bajar al barro como usted, porque si bajase al barro... (Protestas). Bueno, no se pongan nerviosos. Si usted baja al barro, yo no voy a bajar con usted porque usted domina mucho más el barro, pero sí le digo que en una Cámara democrática como mínimo se respeta a los grupos parlamentarios, y tiene usted que saber que hay oposición. Usted no quiere oposición y nosotros vamos a hacerla. Así que mañana votaremos sí a España y no al plan Sánchez y a la banda de Sánchez. Gracias. (Prolongados aplausos de las señoras y los señores diputados del Grupo Parlamentario Ciudadanos, puestos en pie)."
2019-07-22,83,PRESIDENTA," Gracias, señor Rivera. Tiene la palabra el candidato a la Presidencia del Gobierno."
2019-07-22,84,SÁNCHEZ PÉREZ CASTEJÓN (candidato a la Presidencia del Gobierno)," Gracias, señora presidenta. Bueno... (Risas). Nos ha quedado claro, señor Rivera. (Risas. Aplausos). Nos ha quedado claro y, en fin, he entendido el mensaje. (Risas. Aplausos)."
2019-07-22,85,PRESIDENTA," Gracias, señor candidato. Señor Rivera, tiene la palabra. (Rumores)."
2019-07-22,86,RIVERA DÍAZ," Seguro que usted trata a los votantes de Esquerra Republicana y Bildu igual que a los votantes de Ciudadanos; estoy convencido de sus socios. Señor Sánchez, espero que le haya quedado claro. Ya lo ha dicho, y me alegro mucho, pero usted lo tenía claro hace tiempo. Usted lleva más de un año ejecutando un plan, desde que montó la moción de censura. (Varios señores diputados: ¡Oh! Risas). Si no les gusta escucharlo pónganse tapones; es la democracia. (Protestas). Sí, sí, y nos van a tener que escuchar y vamos a liderar la oposición. (Un señor diputado: Cada día. La señora Arrimadas García: Cada día). Nos van a escuchar cada día y nos van a escuchar con 4 300 000 ciudadanos detrás, y cada vez más gente (aplausos. Un señor diputado: ¡No os queda nada!), así que, paciencia. (Aplausos). Señor Sánchez, a todos los que no sean militantes del PSOE los queremos representar (rumores), porque ser militante del PSOE está muy bien, pero hay muchos españoles que no son sectarios y que no llevan el carné en la boca. Aquí el único carné que te otorga derechos y libertades es el de ser ciudadano español. Yo no voy a defender en esta tribuna solo a los votantes de Ciudadanos, voy a defender a todos los españoles que se oponen al plan Sánchez; a todos los españoles que quieren una alternativa democrática, decente, limpia. Usted no me ha contestado sobre los ERE porque no puede contestar, porque ustedes son los de los ERE, los de los cursos de formación, los que dan lecciones a los demás y no respetan a los votantes, sino que les roban su dinero. Esos son ustedes, así que van a tener aquí una oposición de regeneración democrática, y cuando haya una sentencia sobre los ERE seremos los primeros que le pidamos que dimita. Señor Sánchez, si usted pensaba que esto iba a ser un paseo, lo lleva claro. Aquí ha llegado Ciudadanos, con 4 300 000 votantes (protestas) sí, sí , y nos van a escuchar cada día. Y cuando Marlaska nos eche del orgullo, iremos otra vez (rumores); y cuando nos eche Calvo, volveremos a ir (rumores); y cuando nos echen los nacionalistas de Rentería o de Alsasua, volveremos a ir. No nos vamos a cortar (aplausos), porque, señor Sánchez, el lado correcto de la historia en este momento no es estar con Bildu ni con Puigdemont ni con Torra; es estar con la Constitución y con la democracia. Muchas gracias. (Aplausos)."
2019-07-22,87,PRESIDENTA," Gracias, señor Rivera. Tiene la palabra el candidato a la Presidencia del Gobierno."
2019-07-22,88,SÁNCHEZ PÉREZ CASTEJÓN (candidato a la Presidencia del Gobierno)," Bueno, señor Rivera, simplemente quiero recordarle que de esos 4 millones de votantes que confiaron en usted el pasado 28 de abril un 70 % está diciendo en todas las encuestas que tiene que facilitar la formación de un gobierno. (Rumores). Claro que sí, lo está diciendo un 70 %, por tanto lo único que le digo es que no se declare en rebeldía ante sus votantes, que facilite la formación de un gobierno; que facilite con su abstención la formación de un gobierno, e incluso si no quiere, señor Rivera, que la investidura del presidente del Gobierno dependa de fuerzas que usted considera antagónicas a usted mismo, lo que tendrá que hacer es abstenerse, porque ser demócrata, señor Rivera, es aceptar el resultado electoral, y si no hay alternativa de gobierno posible, usted con su no lo que está diciendo a esos cuatro millones largos de votantes que confiaron en usted, y también al conjunto de ciudadanos y ciudadanas que votaron el pasado 28 de abril, es que tienen que ser de nuevo convocados a las urnas el próximo 10 de noviembre. Será su responsabilidad, señor Rivera. (Aplausos)."
2019-07-22,89,PRESIDENTA," Muchas gracias. Por el Grupo Parlamentario Confederal de Unidas Podemos En Comú Podem Galicia en Común, tiene la palabra en primer lugar el señor Iglesias Turrión. (Aplausos de las señoras y los señores diputados del Grupo Parlamentario Confederal de Unidas Podemos En Comú Podem Galicia en Común, puestos en pie)."
